Title,Country,Year,Rating, Votes,Director,Genres,Runtime,Dashboard Link,Link,Plot Summary
Aspirants,India,"2,021",9.7,"289,276",-,Drama,45,Dashboard Link,IMDB Link,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.
Dhindora,India,"2,021",9.6,"109,717",-,Comedy,25,Dashboard Link,IMDB Link,"It revolves around Bhuvan and his family's everyday lives, when an unexpected purchase leads to a series of events and depicts every common man's larger than life dreams."
Planet Earth II,United Kingdom,"2,016",9.5,"107,179",-,Documentary,298,Dashboard Link,IMDB Link,David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.
Scam 1992: The Harshad Mehta Story,India,"2,020",9.5,"134,387",-,"Biography,Crime,Drama",54,Dashboard Link,IMDB Link,"Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall."
Planet Earth,United Kingdom,"2,006",9.4,"175,790",-,Documentary,538,Dashboard Link,IMDB Link,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition."
Breaking Bad,United States,"2,008",9.4,"1,624,391",-,"Crime,Drama,Thriller",49,Dashboard Link,IMDB Link,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.
Chernobyl,United States,"2,019",9.4,"635,142",-,"Drama,History,Thriller",330,Dashboard Link,IMDB Link,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
Band of Brothers,United States,"2,001",9.4,"408,092",-,"Drama,History,War",594,Dashboard Link,IMDB Link,"The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day."
The Wire,United States,"2,002",9.3,"312,070",-,"Crime,Drama,Thriller",59,Dashboard Link,IMDB Link,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Avatar: The Last Airbender,United States,"2,005",9.3,"280,163",-,"Action,Adventure,Animation",23,Dashboard Link,IMDB Link,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Cosmos: A Spacetime Odyssey,United States,"2,014",9.3,"116,854",-,Documentary,557,Dashboard Link,IMDB Link,An exploration of our discovery of the laws of nature and coordinates in space and time.
Game of Thrones,United States,"2,011",9.2,"1,917,673",-,"Action,Adventure,Drama",57,Dashboard Link,IMDB Link,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia."
Rick and Morty,United States,"2,013",9.2,"448,499",-,"Adventure,Animation,Comedy",23,Dashboard Link,IMDB Link,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.
Kota Factory,India,"2,019",9.2,"64,605",-,"Comedy,Drama",45,Dashboard Link,IMDB Link,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives."
Arcane,United States,"2,021",9.2,"112,120",-,"Action,Adventure,Animation",41,Dashboard Link,IMDB Link,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart."
TVF Pitchers,India,"2,015",9.1,"64,819",-,"Comedy,Drama",40,Dashboard Link,IMDB Link,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.
Sherlock,United Kingdom,"2,010",9.1,"865,162",-,"Crime,Drama,Mystery",88,Dashboard Link,IMDB Link,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.
The Last Dance,United States,"2,020",9.1,"101,775",-,"Biography,Documentary,History",491,Dashboard Link,IMDB Link,"Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history."
Fullmetal Alchemist: Brotherhood,Japan,"2,009",9.1,"144,861",-,"Action,Adventure,Animation",24,Dashboard Link,IMDB Link,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
Leyla and Mecnun,Turkey,"2,011",9.1,"92,256",-,"Adventure,Comedy,Drama",80,Dashboard Link,IMDB Link,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun."
Attack on Titan,Japan,"2,013",9,"264,552",-,"Action,Adventure,Animation",24,Dashboard Link,IMDB Link,"After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
Hunter x Hunter,Japan,"2,011",9,"77,301",-,"Action,Adventure,Animation",24,Dashboard Link,IMDB Link,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger."
Death Note,Japan,"2,006",9,"279,925",-,"Animation,Crime,Drama",24,Dashboard Link,IMDB Link,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
Firefly,United States,"2,002",9,"254,398",-,"Adventure,Drama,Sci-Fi",44,Dashboard Link,IMDB Link,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them."
Fargo,United States,"2,014",8.9,"352,235",-,"Crime,Drama,Thriller",53,Dashboard Link,IMDB Link,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota."
The Office,United States,"2,005",8.9,"495,656",-,Comedy,22,Dashboard Link,IMDB Link,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium."
Gravity Falls,United States,"2,012",8.9,"89,550",-,"Action,Adventure,Animation",23,Dashboard Link,IMDB Link,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
True Detective,United States,"2,014",8.9,"530,653",-,"Crime,Drama,Mystery",55,Dashboard Link,IMDB Link,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
When They See Us,United States,"2,019",8.9,"108,716",-,"Biography,Crime,Drama",296,Dashboard Link,IMDB Link,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.
Succession,United States,"2,018",8.8,"95,577",-,Drama,60,Dashboard Link,IMDB Link,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company."
Better Call Saul,United States,"2,015",8.8,"368,665",-,"Crime,Drama",46,Dashboard Link,IMDB Link,"The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico."
Dark,Germany,"2,017",8.8,"334,718",-,"Crime,Drama,Mystery",60,Dashboard Link,IMDB Link,"A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families."
One Punch Man,Japan,"2,015",8.8,"137,956",-,"Action,Animation,Comedy",24,Dashboard Link,IMDB Link,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
Narcos,United States,"2,015",8.8,"391,055",-,"Biography,Crime,Drama",49,Dashboard Link,IMDB Link,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years."
The Family Man,India,"2,019",8.8,"78,522",-,"Action,Comedy,Drama",45,Dashboard Link,IMDB Link,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job."
It's Always Sunny in Philadelphia,United States,"2,005",8.8,"207,112",-,Comedy,22,Dashboard Link,IMDB Link,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
The Mandalorian,United States,"2,019",8.8,"377,632",-,"Action,Adventure,Fantasy",40,Dashboard Link,IMDB Link,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic."
Ted Lasso,United States,"2,020",8.8,"146,682",-,"Comedy,Drama,Sport",30,Dashboard Link,IMDB Link,Follows US American Football coach Ted Lasso heading to the UK to manage a struggling London football team in the top flight of English football.
Last Week Tonight with John Oliver,United States,"2,014",8.8,"84,433",-,"Comedy,History,News",30,Dashboard Link,IMDB Link,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.
Peaky Blinders,United Kingdom,"2,013",8.8,"433,746",-,"Crime,Drama",60,Dashboard Link,IMDB Link,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby."
Steins;Gate,Japan,"2,011",8.8,"53,908",-,"Animation,Comedy,Drama",24,Dashboard Link,IMDB Link,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
Black Mirror,United Kingdom,"2,011",8.8,"493,307",-,"Drama,Sci-Fi,Thriller",60,Dashboard Link,IMDB Link,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide."
Chappelle's Show,United States,"2,003",8.7,"60,118",-,"Comedy,Music",22,Dashboard Link,IMDB Link,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.
Arrested Development,United States,"2,003",8.7,"291,043",-,Comedy,22,Dashboard Link,IMDB Link,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
